p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
LUM	7.74300749264398e-230	2.15678537544484	1	0.337	1.02347073037768e-225	LUM
PCOLCE2	7.14735763221309e-227	1.77552567987741	0.958	0.179	9.44737731825926e-223	PCOLCE2
GSN	4.02936380680531e-209	1.69427274698647	1	0.899	5.32601307983526e-205	GSN
TIMP3	8.8495357469593e-199	1.64446809174395	0.992	0.526	1.16973163503308e-194	TIMP3
PRELP	4.70796881711337e-176	1.66989004386132	0.977	0.366	6.22299318246045e-172	PRELP
DPT	4.288981956351e-174	1.50834064763175	0.934	0.183	5.66917634990475e-170	DPT
DCN	4.57083293874668e-168	1.64087869903365	1	0.548	6.04172697843536e-164	DCN
SERPINE2	2.47181797208391e-156	1.54729765255705	0.784	0.129	3.26724899550052e-152	SERPINE2
CCDC80	5.07348391998583e-156	1.53600915969324	0.931	0.277	6.70613104543727e-152	CCDC80
CFH	6.03235316178213e-154	1.43313026513854	0.988	0.394	7.97356440924362e-150	CFH
COL1A2	4.06950320216625e-136	1.26997754494682	0.958	0.349	5.37906933262335e-132	COL1A2
FBLN1	1.5767196865387e-135	1.56044940527267	0.969	0.341	2.08410808166686e-131	FBLN1
OMD	2.48603720498109e-134	1.00455181374322	0.792	0.149	3.28604397754401e-130	OMD
CLU	5.0718845063577e-125	1.50338234726007	1	0.707	6.70401694050361e-121	CLU
BGN	3.25976920330456e-124	1.21920894512892	0.988	0.434	4.30876293292796e-120	BGN
IGFBP6	5.4447449833119e-120	1.3286038291975	0.981	0.554	7.19686391894167e-116	IGFBP6
LTBP4	4.73301298965385e-113	0.929422316588236	0.942	0.383	6.25609656972446e-109	LTBP4
SFRP4	3.49366131381164e-112	1.09647763631332	0.714	0.119	4.61792152459623e-108	SFRP4
ABI3BP	4.75424249149372e-112	0.728469844440507	0.687	0.113	6.28415772525641e-108	ABI3BP
COL6A2	1.81937952920956e-109	0.945610514661101	0.988	0.447	2.40485586170919e-105	COL6A2
FIBIN	1.89515534048968e-109	0.894871249777958	0.807	0.187	2.50501632905926e-105	FIBIN
TNFAIP6	2.23473863781249e-103	0.938635193805943	0.579	0.074	2.95387753146055e-99	TNFAIP6
FBLN2	4.13245897258694e-102	0.915862771567623	0.907	0.274	5.46228426996542e-98	FBLN2
