p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
SDPR	1.97649001077183e-282	2.01190999281754	0.965	0.287	2.61252449623821e-278	SDPR
MMRN1	1.0971632902372e-269	2.0694207622684	0.931	0.003	1.45023043703553e-265	MMRN1
GNG11	7.98301907662838e-250	1.83476392263625	0.986	0.4	1.05519546154874e-245	GNG11
NTS	7.9834787976565e-208	2.63334599546014	0.861	0.012	1.05525622747424e-203	NTS
CLDN5	1.5239984346201e-192	2.28149693504407	0.979	0.039	2.01442113088085e-188	CLDN5
FLT4	6.70541664462921e-188	1.0934126626493	0.764	0.008	8.86321972087089e-184	FLT4
PPP1R2	8.60868804600124e-187	1.30221746810766	0.986	0.62	1.13789638592044e-182	PPP1R2
GALNT18	2.70142016950856e-174	1.23676795200509	0.792	0.073	3.57073718005642e-170	GALNT18
PARD6G	1.20501944863795e-168	1.12071778153454	0.771	0.06	1.59279470720965e-164	PARD6G
RAB11A	2.06323484862958e-157	1.03061882824316	0.91	0.468	2.72718382291858e-153	RAB11A
LRG1	2.46253291195166e-151	2.13092158496218	0.889	0.102	3.2549760030177e-147	LRG1
LBP	1.24582737294134e-150	1.54451922638252	0.882	0.111	1.64673462155387e-146	LBP
IGFBP5	3.4556996691283e-150	2.61038772274212	0.882	0.153	4.56774382265379e-146	IGFBP5
IGFBP7	3.46699046031903e-150	-2.45183093131321	0.84	0.958	4.5826679904497e-146	IGFBP7
ELK3	1.31902818850716e-146	0.993817522648871	0.806	0.156	1.74349145956877e-142	ELK3
PROX1	5.81319262101722e-144	0.902893058111086	0.653	0.008	7.68387800646057e-140	PROX1
KLHL4	3.64811197810336e-132	0.721053572939285	0.569	0.005	4.82207441265702e-128	KLHL4
NXN	6.89046055235005e-132	0.782042583025405	0.618	0.173	9.10781075809629e-128	NXN
THBD	1.10809602329622e-128	1.39953647201331	0.792	0.201	1.46468132359295e-124	THBD
PPFIBP1	1.21280444118909e-128	0.890991798933418	0.785	0.265	1.60308491036374e-124	PPFIBP1
HTR2B	1.79850056630385e-127	0.764498496918015	0.493	0.001	2.37725804854043e-123	HTR2B
PVRL2	1.99018432395803e-122	0.906779008830349	0.736	0.072	2.63062563940772e-118	PVRL2
NSG1	1.9074859584213e-121	1.14395492813633	0.785	0.163	2.52131493984127e-117	NSG1
LGALS1	9.13720443767535e-117	-1.58980179122174	0.826	0.981	1.20775568257193e-112	LGALS1
NRP2	1.15825371311392e-116	1.01946003392614	0.66	0.071	1.53097975799398e-112	NRP2
EMCN	3.70223531723943e-115	1.09656107849894	0.771	0.043	4.89361464232707e-111	EMCN
DTX1	5.52907674499846e-115	0.818090694694496	0.542	0.016	7.30833364153896e-111	DTX1
EGFL7	8.57193689187813e-115	1.29506810529283	0.812	0.055	1.13303861836845e-110	EGFL7
GPM6A	1.25994681683053e-112	0.873354703321211	0.674	0.024	1.6653977024866e-108	GPM6A
APOLD1	3.51735296602289e-110	1.44980512168021	0.785	0.061	4.64923715048906e-106	APOLD1
RELN	1.92467473518779e-106	0.734404438524477	0.438	0.002	2.54403506497122e-102	RELN
BGN	1.97193138484581e-106	-1.93782406608839	0.896	0.947	2.6064989044892e-102	BGN
GRINA	1.6301825714444e-103	0.946673718774304	0.812	0.383	2.1547753229352e-99	GRINA
STC1	1.30721649932778e-102	1.32992317855456	0.514	0.027	1.72787876881147e-98	STC1
SEMA3A	5.24536363081351e-102	0.554919671655718	0.451	0.004	6.93332164720929e-98	SEMA3A
NDRG1	4.92535547244369e-100	1.0197947053485	0.833	0.322	6.51033486347607e-96	NDRG1
TBX1	9.6557412385773e-98	0.576200246864036	0.458	0.005	1.27629587691515e-93	TBX1
LYVE1	4.6335915258937e-97	1.77353743854968	0.632	0.044	6.12468127892629e-93	LYVE1
F11R	5.5417899693503e-97	0.927566576857121	0.757	0.105	7.32513798148722e-93	F11R
GNGT2	8.04609076784735e-96	1.06614863183292	0.812	0.092	1.06353227769406e-91	GNGT2
KDR	1.65978331551203e-95	0.836024689349787	0.618	0.027	2.1939015864438e-91	KDR
FXYD6	3.44267275808846e-92	1.32442741471663	0.986	0.349	4.55052485164132e-88	FXYD6
RHOJ	3.48852761168957e-91	0.944531115369247	0.868	0.549	4.61113579713128e-87	RHOJ
MMRN2	4.16878249349474e-91	0.97612468361789	0.736	0.075	5.51029669990135e-87	MMRN2
ATPAF2	3.40090423356361e-89	0.316891044205058	0.111	0.092	4.49531521592438e-85	ATPAF2
ADAMTSL1	8.05342359563166e-89	0.758511594732327	0.493	0.024	1.06450153087059e-84	ADAMTSL1
TGM2	1.41165447137297e-88	0.981171678148773	0.875	0.434	1.86592488026079e-84	TGM2
MAF	1.43070306675572e-88	1.0646596913552	0.778	0.136	1.89110331363771e-84	MAF
ICAM2	1.50230263529427e-88	0.913248066925002	0.715	0.058	1.98574362333197e-84	ICAM2
FGL2	3.77133093717668e-88	1.24560972328561	0.965	0.66	4.98494523276014e-84	FGL2
TIE1	3.02276677196095e-86	0.685605169134924	0.597	0.03	3.99549311917798e-82	TIE1
CDH5	9.81499186285735e-86	0.725089039608428	0.632	0.043	1.29734562443248e-81	CDH5
LDB2	1.71855908874152e-85	0.64545516191795	0.5	0.017	2.27159140349854e-81	LDB2
PODXL	3.29031047091759e-83	0.697007906200666	0.569	0.027	4.34913238045888e-79	PODXL
ECE1	2.94624438947384e-82	0.978908830247818	0.757	0.197	3.89434583400652e-78	ECE1
RBP7	4.56120131494252e-80	0.898478446727082	0.5	0.017	6.02899589809102e-76	RBP7
KANK3	1.14244568444437e-78	0.768902762826504	0.618	0.062	1.51008470569857e-74	KANK3
ADGRG3	1.60930824160765e-77	0.60504022994985	0.354	0.004	2.12718363375699e-73	ADGRG3
BCR	6.5077155860696e-77	0.702595942440989	0.549	0.094	8.60189846166679e-73	BCR
CALCRL	9.70527093864563e-77	0.748090568301736	0.583	0.061	1.28284271267018e-72	CALCRL
RAMP2	5.8710929497646e-76	1.1673371490191	0.889	0.273	7.76041066099885e-72	RAMP2
ACKR3	1.45206858149972e-75	1.20935192501666	0.764	0.19	1.91934425102633e-71	ACKR3
S100A16	7.15460567814054e-74	0.769044268548315	0.847	0.537	9.45695778536616e-70	S100A16
CD47	1.99473983054463e-71	0.796921429965102	0.951	0.67	2.63664710801389e-67	CD47
IPO11	2.93050323472408e-71	0.60979745934434	0.5	0.045	3.87353917565829e-67	IPO11
DUOX2	1.13863175868774e-69	0.30237188985257	0.278	0.001	1.50504345863346e-65	DUOX2
PECAM1	2.75091625410184e-69	0.946001087824106	0.84	0.179	3.63616110467182e-65	PECAM1
SMAGP	1.26088742002988e-68	0.743530413060192	0.681	0.081	1.6666409917955e-64	SMAGP
MT-ND1	2.41468779545966e-68	-0.765703751533651	1	0.999	3.19173432803858e-64	MT-ND1
DUSP2	2.53294261865094e-68	1.25491301308172	0.542	0.069	3.34804355333281e-64	DUSP2
THY1	9.35854974557713e-68	0.996439054490796	0.66	0.088	1.23701310537039e-63	THY1
SEMA3D	4.78592022254623e-67	0.669307063805661	0.576	0.126	6.3260293501616e-63	SEMA3D
STMN2	2.1025871872288e-66	0.912720429019132	0.458	0.02	2.77919974407902e-62	STMN2
GIMAP4	3.66834646293535e-66	0.65576191698309	0.521	0.034	4.84882035470794e-62	GIMAP4
PDPN	6.78279528331237e-66	0.885642441586423	0.611	0.124	8.96549880548229e-62	PDPN
